he1	he2	ho1	ho2	n_all	r_hat1	r_hat2	mean_r_hat	r_max1	r_max2	fst	fit	fis	wc_he	corr_fst	corr_fit	corr_fis	corr_wc_he	corr_fst_mr	corr_fit_mr	corr_fis_mr	corr_wc_he_mr	het_f	hom_f	het_m	hom_m	auto_df	auto_g	sex_df	sex_g	maf	nind
122	0.577256944444444	0.499131944444444	0.291666666666667	0.166666666666667	3	0.328671328671329	0.416666666666667	0.372668997668998	0.354166666666667	0.416666666666667	0.149579056625533	0.649867374005305	0.588283157038243	0.55661231884058	0.0647891433527828	0.653980651069327	0.630009268528842	0.458926958280044	0.0658680971383558	0.65315215531021	0.628695001608181	0.459001545680506	7	20	3	15	5	0.810351483008552	5	8.75227449925136	0.520833333333333	48
127	0.405482041587902	0.4296875	0.217391304347826	0.125	2	0.301972685887709	0.4375	0.369736342943854	0.416666666666667	0.4375	0.25635793537048	0.707423860057558	0.60656321924419	0.432630537568095	0.125201284776594	0.72613800197406	0.686942843810646	0.406629884461763	0.112792216279243	0.722972740295181	0.687753799292622	0.41177716891182	5	21	2	16	2	0.563972985847533	2	5.62385185053178	0.51063829787234	47
130	0.484877126654064	0.441840277777778	0.304347826086957	0.541666666666667	3	0.22874251497006	1e-04	0.11442125748503	0.375	0.229166666666667	0.129242215377785	0.21830974627093	0.102287378265344	0.474017970329256	0.13368127187343	0.147502245531202	0.0159536821830697	0.463159902868732	0.102023288977271	0.105626940194987	0.00401307870625212	0.474359492110936	15	12	5	13	5	7.35764208613434	5	19.3853092478814	0.553191489361702	47
131	0.776937618147448	0.752362948960303	0.434782608695652	0.478260869565217	6	0.282371294851794	0.22273425499232	0.252552774922057	0.3125	0.291666666666667	0.0321212121212121	0.44	0.421415153412649	0.78903162055336	0.017189051540795	0.416201425838656	0.405990974076358	0.633099742756483	0.0156816579621608	0.415532007405249	0.40622056134327	0.634111032473117	13	13	7	10	20	23.7980855912253	20	28.535508984135	0.33695652173913	46
133	0.486111111111111	0.498046875	0.166666666666667	0.0625	4	0.48936170212766	0.645833333333333	0.567597517730496	0.708333333333333	0.645833333333333	-0.0531442773615606	0.785777889033919	0.7965880691079	0.52672847985348	-0.0230927523436992	0.859500793728948	0.862672073524911	0.33690724340284	-0.043679990127999	0.857069988474746	0.863051880962358	0.353540065615165	2	14	1	9	9	5.99034049091217	9	7.33954700193454	0.660714285714286	28
135	0.38125	0.53515625	0.15	0.3125	5	0.435294117647059	0.262672811059908	0.348983464353483	0.520833333333333	0.5625	-0.022644184656445	0.516034418048624	0.526750761200522	0.469566993464052	-0.0320307653786538	0.571857131120329	0.585145246399137	0.431869315017944	-0.0303682728881892	0.566132389693623	0.578919866107467	0.434502876709753	4	17	4	8	14	9.75970651807096	14	20.1078384683222	0.722222222222222	36
136	0.496219281663516	0.516528925619835	0.304347826086957	0.318181818181818	3	0.239669421487603	0.237623762376238	0.23864659193192	0.375	0.395833333333333	-0.0192015672850088	0.39308671677574	0.404520849746159	0.522455086762468	-0.0202993912123143	0.299739483977156	0.313671534008466	0.488543872869781	-0.0202670727063793	0.299743078766974	0.313653316895241	0.488537198732438	9	15	4	14	5	5.32210740882722	5	13.1420772747087	0.566666666666667	45
137	0.74375	0.58203125	0.15	0.25	6	0.520833333333333	0.39906103286385	0.459947183098592	0.520833333333333	0.583333333333333	0.0116976524243622	0.727680510885092	0.724457308248915	0.705678104575163	0.00657397989071034	0.714377723078606	0.712487622490529	0.449024840683415	-0.0118238491914793	0.736157853200109	0.739241027960825	0.461949294939814	6	16	1	10	20	12.8363097039257	20	8.00763885016525	0.486111111111111	36
139	0.336734693877551	0.558673469387755	0.142857142857143	0.214285714285714	3	0.404255319148936	0.445544554455445	0.424899936802191	0.666666666666667	0.645833333333333	0.0999628390932739	0.661835748792271	0.624277456647399	0.475274725274725	0.0226086219842237	0.686610219339856	0.679361013705315	0.410337014332777	0.0149708420167019	0.685690977994858	0.680913991775996	0.412738046173027	2	12	3	9	5	11.3428708637944	5	12.5748356302027	0.678571428571429	28
140	0.467863894139887	0.34875	0.217391304347826	0.15	3	0.36551724137931	0.398496240601504	0.382006740990407	0.416666666666667	0.520833333333333	0.292046626783407	0.692293052854233	0.565357043575203	0.428044464721695	0.127180493918067	0.659582296208482	0.609979266710428	0.40760753152832	0.129259553133042	0.659718997321967	0.609205011777723	0.406599130194175	8	16	0	16	5	9.47951380490401	5	0.584828477464259	0.534883720930233	43
142	0.600694444444444	0.753472222222222	0.0833333333333334	0.0833333333333334	7	0.729166666666667	0.729166666666667	0.729166666666667	0.729166666666667	0.729166666666667	0.143172616856827	0.902834008097166	0.88659793814433	0.734848484848485	0.0123157944687337	1	1	0.257184124355452	0.0123157944687337	1	1	0.257184124355452	2	12	0	7	27	7.947062086411	27	9.2026279287362	0.333333333333333	24
147	0.495867768595041	0.21875	0.272727272727273	0.25	2	0.290322580645161	1e-04	0.145211290322581	0.416666666666667	0.479166666666667	0.205142803187982	0.445681519747824	0.302618781744173	0.375554653679654	0.261538526782503	0.533137969048693	0.367790943896943	0.359285690620244	0.141121352134958	0.478567963582412	0.392892071873322	0.403105294714004	10	15	1	13	2	5.64702277743461	2	4.62976104378135	0.702380952380952	42
150	0	0.277777777777778	0	0.0476190476190477	2	1e-04	0.541666666666667	0.270883333333333	0.625	0.541666666666667	0.114726638231873	0.855385808452889	0.836644591611479	0.156964656964657	0.481891130947388	0.972737376352413	0.947380511556504	0.199124106694969	0.00398461590656691	0.959274916318179	0.95911199331636	0.290544172026709	1	20	0	15	2	4.665577103185	2	4.61566035878013	0.91025641025641	39
151	0.503099173553719	0.574669187145558	0.272727272727273	0.434782608695652	3	0.29693741677763	0.138576779026217	0.217757097901923	0.416666666666667	0.3125	0.00985619520743655	0.367397095588117	0.361099972196045	0.556512036441258	-0.00076993308378892	0.409253868566711	0.409708353634333	0.516295200282803	-0.00276805213566574	0.382552859986582	0.384257267970995	0.515681737822748	9	15	7	11	5	5.91587665184287	5	21.8621853316912	0.555555555555556	45
153	0.090702947845805	0.473372781065089	0	0	2	0.5625	0.729166666666667	0.645833333333333	0.5625	0.729166666666667	0.549099099099099	1	1	0.251831501831502	0.164367777805811	1	1	0.257425010381646	0.102962725229561	1	1	0.267639626291312	0	22	0	10	2	3.29924806864592	2	4.02148110489985	0.735294117647059	34
154	0.566481994459834	0.524930747922438	0.263157894736842	0.157894736842105	3	0.365609348914858	0.537525354969574	0.451567351942216	0.5	0.541666666666667	-0.020239570425444	0.623296158612144	0.630769230769231	0.570175438596491	-0.0151467681562254	0.702106024720938	0.706550831245696	0.420259382908365	-0.0271851672625806	0.697658759397807	0.705660429844481	0.427050755431863	4	18	3	11	5	4.06516684284437	5	12.3195783305965	0.526315789473684	38
